TimeStamp,SubTest,Step,Target.X,Target.Y,LeftPupil.X,LeftPupil.Y,RightPupil.X,RightPupil.Y,slno,TimeMillis,velocity_left,velocity_right,distance_left,distance_right,net_distance_left,net_distance_right,fixation_left,fixation_right
12440,0,-1,0,5e-324,-29.04243850708011,67.9678573608398,-27.1895732879639,40.29849243164061,311,12.44,3.7411212921123838,1.350784301757486,0.14964485168449215,0.05403137207029829,0.14964485168449215,0.05403137207029829,1,1
12480,0,-1,0,5e-324,-29.054859161377,68.5943069458008,-27.0773239135742,41.481895446777294,312,12.48,0.3105163574222231,2.8062343597423896,0.01242065429688921,0.11224937438969818,-0.01242065429688921,0.11224937438969818,1,1
12520,0,-1,0,5e-324,-29.002637863159197,70.0809783935547,-26.8385219573975,41.7072906494141,313,12.52,1.3055324554450742,5.970048904417651,0.05222129821780186,0.23880195617670097,0.05222129821780186,0.23880195617670097,1,1
12560,0,-1,0,5e-324,-28.974073410034197,70.79148864746091,-26.803245544433604,42.441841125488295,314,12.56,0.7141113281249835,0.8819103240973699,0.028564453125,0.03527641296389561,0.028564453125,0.03527641296389561,1,1
12600,0,-1,0,5e-324,-29.234802246093803,71.4497451782227,-27.0344390869141,43.188159942627,315,12.6,6.5182209014902845,5.779838562012553,0.26072883605960584,0.23119354248049717,-0.26072883605960584,-0.23119354248049717,1,1
12640,0,-1,0,5e-324,-29.4091796875,71.81092834472659,-27.0109786987305,43.7627105712891,316,12.64,4.359436035154817,0.5865097045900078,0.1743774414061967,0.023460388183600855,-0.1743774414061967,0.023460388183600855,1,1
12680,0,-1,0,5e-324,-29.374158859252898,72.1596908569336,-26.930198669433604,43.724048614502,317,12.68,0.8755207061775758,2.019500732422451,0.03502082824710229,0.08078002929689632,0.03502082824710229,0.08078002929689632,1,1
12720,0,-1,0,5e-324,-29.4744987487793,71.7024002075195,-27.203969955444304,42.214038848877,318,12.72,2.50849723816001,6.844282150267331,0.10033988952640271,0.27377128601069955,-0.10033988952640271,-0.27377128601069955,1,1
12760,0,-1,0,5e-324,-29.7210712432861,70.2509002685547,-26.80615234375,41.1253623962402,319,12.76,6.164312362670142,9.94544029235781,0.2465724945068004,0.39781761169430396,-0.2465724945068004,0.39781761169430396,1,1
12800,0,-1,0,5e-324,-27.15105628967289,69.9436874389648,-24.0982265472412,40.5010948181152,320,12.8,64.25037384032878,67.69814491271843,2.57001495361321,2.7079257965087997,2.57001495361321,2.7079257965087997,0,0
12840,0,-1,0,5e-324,-26.4228439331055,70.12844085693361,-23.970699310302702,41.164966583252,321,12.84,18.205308914185135,3.188180923462515,0.7282123565673899,0.12752723693849788,0.7282123565673899,0.12752723693849788,1,1
12880,0,-1,0,5e-324,-26.4499855041504,71.8233642578125,-24.0541553497314,43.1624908447266,322,12.88,0.6785392761224983,2.08640098571737,0.02714157104490056,0.08345603942869673,-0.02714157104490056,-0.08345603942869673,1,1
12920,0,-1,0,5e-324,-26.514612197876,73.16249084472659,-23.870704650878896,45.36531829833979,323,12.92,1.6156673431400381,4.586267471312686,0.06462669372560015,0.18345069885250354,-0.06462669372560015,0.18345069885250354,1,1
12960,0,-1,0,5e-324,-25.9472255706787,75.3603897094727,-23.1465759277344,46.984302520752,324,12.96,14.184665679932202,18.103218078611974,0.5673866271973012,0.7241287231444957,0.5673866271973012,0.7241287231444957,1,1
13000,0,-1,0,5e-324,-25.543949127197298,75.85121154785159,-22.8811016082764,47.5720367431641,325,13.0,10.081911087035282,6.636857986450159,0.4032764434814027,0.2654743194580007,0.4032764434814027,0.2654743194580007,1,1
13040,0,-1,0,5e-324,-25.774198532104503,75.6190490722656,-22.714666366577106,48.5423049926758,326,13.04,5.756235122680254,4.160881042482423,0.23024940490720525,0.16643524169929336,-0.23024940490720525,0.16643524169929336,1,1
